player,img_url
Roberto Firmino,https://fbref.com/req/202302030/images/headshots/4c370d81_2022.jpg
Diogo Jota,https://fbref.com/req/202302030/images/headshots/178ae8f8_2022.jpg
Joël Matip,https://fbref.com/req/202302030/images/headshots/b217ef29_2022.jpg
Curtis Jones,https://fbref.com/req/202302030/images/headshots/4fb9c88f_2022.jpg
Luis Díaz,https://fbref.com/req/202302030/images/headshots/4a1a9578_2022.jpg
Kostas Tsimikas,https://fbref.com/req/202302030/images/headshots/f315ca93_2022.jpg
James Milner,https://fbref.com/req/202302030/images/headshots/2f90f6b8_2022.jpg
Stefan Bajcetic,https://fbref.com/req/202302030/images/headshots/32e8417f_2022.jpg
Fabio Carvalho,https://fbref.com/req/202302030/images/headshots/966e28d0_2022.jpg
Alex Oxlade-Chamberlain,https://fbref.com/req/202302030/images/headshots/38c7feef_2022.jpg
Naby Keïta,https://fbref.com/req/202302030/images/headshots/f25c8e3a_2022.jpg
Caoimhín Kelleher,https://fbref.com/req/202302030/images/headshots/62d7ef38_2022.jpg
Nathaniel Phillips,https://fbref.com/req/202302030/images/headshots/515ebe8d_2022.jpg
Ben Doak,
Bobby Clark,https://fbref.com/req/202302030/images/headshots/73341ace_2022.jpg
Adrián,https://fbref.com/req/202302030/images/headshots/f76e6b4e_2022.jpg
Luke Chambers,https://fbref.com/req/202302030/images/headshots/7d6af698_2022.jpg
Harvey Davies,https://fbref.com/req/202302030/images/headshots/fd08a24b_2022.jpg
Sepp van den Berg,https://fbref.com/req/202302030/images/headshots/7bf9400b_2022.jpg
Arthur Melo,https://fbref.com/req/202302030/images/headshots/48b3dd60_2022.jpg
Calvin Ramsay,https://fbref.com/req/202302030/images/headshots/d720e834_2022.jpg
Rhys Williams,https://fbref.com/req/202302030/images/headshots/012c975a_2022.jpg
Pascal Groß,https://fbref.com/req/202302030/images/headshots/8aec0537_2022.jpg
Lewis Dunk,https://fbref.com/req/202302030/images/headshots/282f75f3_2022.jpg
Moisés Caicedo,https://fbref.com/req/202302030/images/headshots/16264a81_2022.jpg
Alexis Mac Allister,https://fbref.com/req/202302030/images/headshots/83d074ff_2022.jpg
Solly March,https://fbref.com/req/202302030/images/headshots/bb5fbd2b_2022.jpg
Pervis Estupiñán,https://fbref.com/req/202302030/images/headshots/d38fdf53_2022.jpg
Joël Veltman,https://fbref.com/req/202302030/images/headshots/dad4b285_2022.jpg
Kaoru Mitoma,https://fbref.com/req/202302030/images/headshots/74618572_2022.jpg
Robert Sánchez,https://fbref.com/req/202302030/images/headshots/6a713852_2022.jpg
Adam Webster,https://fbref.com/req/202302030/images/headshots/c40b6180_2022.jpg
Danny Welbeck,https://fbref.com/req/202302030/images/headshots/ce5143da_2022.jpg
Leandro Trossard,https://fbref.com/req/202302030/images/headshots/38ceb24a_2022.jpg
Jason Steele,https://fbref.com/req/202302030/images/headshots/28300a16_2022.jpg
Levi Colwill,https://fbref.com/req/202302030/images/headshots/700783e7_2022.jpg
Adam Lallana,https://fbref.com/req/202302030/images/headshots/99813635_2022.jpg
Evan Ferguson,https://fbref.com/req/202302030/images/headshots/4596da74_2022.jpg
Julio César Enciso,https://fbref.com/req/202302030/images/headshots/9cfbad36_2022.jpg
Billy Gilmour,https://fbref.com/req/202302030/images/headshots/df10e27c_2022.jpg
Deniz Undav,https://fbref.com/req/202302030/images/headshots/dd549382_2022.jpg
Facundo Buonanotte,https://fbref.com/req/202302030/images/headshots/468a7a91_2022.jpg
Tariq Lamptey,https://fbref.com/req/202302030/images/headshots/f4e433d4_2022.jpg
Jan Paul van Hecke,https://fbref.com/req/202302030/images/headshots/4fd08daa_2022.jpg
Enock Mwepu,https://fbref.com/req/202302030/images/headshots/1d5cab82_2022.jpg
Jeremy Sarmiento,https://fbref.com/req/202302030/images/headshots/ac0d576d_2022.jpg
Yasin Ayari,https://fbref.com/req/202302030/images/headshots/f173303a_2022.jpg
Odeluga Offiah,https://fbref.com/req/202302030/images/headshots/65c3efa2_2022.jpg
Andrew Moran,https://fbref.com/req/202302030/images/headshots/c4720845_2022.jpg
Cameron Peupion,https://fbref.com/req/202302030/images/headshots/0bdeb013_2022.jpg
Jack Hinshelwood,
Steven Alzate,https://fbref.com/req/202302030/images/headshots/ad1f61f3_2022.jpg
James Furlong,https://fbref.com/req/202302030/images/headshots/ab18d1b0_2022.jpg
Neal Maupay,https://fbref.com/req/202302030/images/headshots/4bcf39f6_2022.jpg
Thomas Mcgill,https://fbref.com/req/202302030/images/headshots/4eb2d015_2022.jpg
Imari Samuels,https://fbref.com/req/202302030/images/headshots/8218e831_2022.jpg
Ed Turns,https://fbref.com/req/202302030/images/headshots/9bbef03e_2022.jpg
Ezri Konsa,https://fbref.com/req/202302030/images/headshots/0313a347_2022.jpg
Emiliano Martínez,https://fbref.com/req/202302030/images/headshots/7956236f_2022.jpg
Ollie Watkins,https://fbref.com/req/202302030/images/headshots/aed3a70f_2022.jpg
Tyrone Mings,https://fbref.com/req/202302030/images/headshots/8397a50c_2022.jpg
Douglas Luiz,https://fbref.com/req/202302030/images/headshots/6f7d826d_2022.jpg
Jacob Ramsey,https://fbref.com/req/202302030/images/headshots/1544f145_2022.jpg
John McGinn,https://fbref.com/req/202302030/images/headshots/90f91999_2022.jpg
Emi Buendía,https://fbref.com/req/202302030/images/headshots/66b76d44_2022.jpg
Leon Bailey,https://fbref.com/req/202302030/images/headshots/3a233281_2022.jpg
Ashley Young,https://fbref.com/req/202302030/images/headshots/be927d03_2022.jpg
Boubacar Kamara,https://fbref.com/req/202302030/images/headshots/cc77354e_2022.jpg
Matty Cash,https://fbref.com/req/202302030/images/headshots/2389cdc2_2022.jpg
Lucas Digne,https://fbref.com/req/202302030/images/headshots/1b84dbe1_2022.jpg
Álex Moreno,https://fbref.com/req/202302030/images/headshots/16e9d0ea_2022.jpg
Danny Ings,https://fbref.com/req/202302030/images/headshots/07802f7f_2022.jpg
Philippe Coutinho,https://fbref.com/req/202302030/images/headshots/0ef89a37_2022.jpg
Leander Dendoncker,https://fbref.com/req/202302030/images/headshots/5a7301ae_2022.jpg
Calum Chambers,https://fbref.com/req/202302030/images/headshots/dc6f5bdd_2022.jpg
Robin Olsen,https://fbref.com/req/202302030/images/headshots/e7ee38c3_2022.jpg
Diego Carlos,https://fbref.com/req/202302030/images/headshots/b4a014b1_2022.jpg
Bertrand Traoré,https://fbref.com/req/202302030/images/headshots/c47541e0_2022.jpg
Jan Bednarek,https://fbref.com/req/202302030/images/headshots/4115ce4e_2022.jpg
Ludwig Augustinsson,https://fbref.com/req/202302030/images/headshots/9fec8860_2022.jpg
Jhon Durán,https://fbref.com/req/202302030/images/headshots/414184f7_2022.jpg
Cameron Archer,https://fbref.com/req/202302030/images/headshots/05e8ca6d_2022.jpg
Morgan Sanson,https://fbref.com/req/202302030/images/headshots/6e7f1353_2022.jpg
Lamare Bogarde,https://fbref.com/req/202302030/images/headshots/bca5c4a7_2022.jpg
Tim Iroegbunam,https://fbref.com/req/202302030/images/headshots/84c5ceea_2022.jpg
Filip Marshall,https://fbref.com/req/202302030/images/headshots/a79abd8b_2022.jpg
Marvelous Nakamba,https://fbref.com/req/202302030/images/headshots/de5b5570_2022.jpg
Tommi O'Reilly,https://fbref.com/req/202302030/images/headshots/345fc437_2022.jpg
Travis Patterson,
Seb Revan,
Viljami Sinisalo,https://fbref.com/req/202302030/images/headshots/a48635b8_2022.jpg
Sil Swinkels,https://fbref.com/req/202302030/images/headshots/a42f6058_2022.jpg
James Wright,
Kadan Young,https://fbref.com/req/202302030/images/headshots/91c75917_2022.jpg
Oliwier Zych,
Harry Kane,https://fbref.com/req/202302030/images/headshots/21a66f6a_2022.jpg
Pierre Højbjerg,https://fbref.com/req/202302030/images/headshots/8b04d6c1_2022.jpg
Son Heung-min,https://fbref.com/req/202302030/images/headshots/92e7e919_2022.jpg
Eric Dier,https://fbref.com/req/202302030/images/headshots/ac861941_2022.jpg
Cristian Romero,https://fbref.com/req/202302030/images/headshots/a3d94a58_2022.jpg
Ben Davies,https://fbref.com/req/202302030/images/headshots/44781702_2022.jpg
Hugo Lloris,https://fbref.com/req/202302030/images/headshots/8f62b6ee_2022.jpg
Clément Lenglet,https://fbref.com/req/202302030/images/headshots/4f28a6ff_2022.jpg
Ivan Perišić,https://fbref.com/req/202302030/images/headshots/6fe90922_2022.jpg
Dejan Kulusevski,https://fbref.com/req/202302030/images/headshots/df3cda47_2022.jpg
Emerson,https://fbref.com/req/202302030/images/headshots/df8b52a5_2022.jpg
Oliver Skipp,https://fbref.com/req/202302030/images/headshots/6250083a_2022.jpg
Rodrigo Bentancur,https://fbref.com/req/202302030/images/headshots/3b8674e6_2022.jpg
Fraser Forster,https://fbref.com/req/202302030/images/headshots/c3e39f12_2022.jpg
Pedro Porro,https://fbref.com/req/202302030/images/headshots/27d0a506_2022.jpg
Richarlison,https://fbref.com/req/202302030/images/headshots/fa031b34_2022.jpg
Yves Bissouma,https://fbref.com/req/202302030/images/headshots/6c203af0_2022.jpg
Ryan Sessegnon,https://fbref.com/req/202302030/images/headshots/6aa3e78b_2022.jpg
